Deadline;Customer;Order Nr;Date;Product Nr;Name;Order qty;Made qty;Diff
16.1.2019;0001;;;012688;"KANTA 20L ""S"" BIJELA BEZRUÈKE - TISAKMEDICINSKI ZARAZNIOTPAD";1.200,00;1.200,00;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;005178;KOŠARA FRANCUZ SIVA;216;216;0
;;;;;;;;
16.1.2019;0001;;;009591;KOŠARA FRANCUZ ŽUTA;216;216;0
;;;;;;;;
16.1.2019;0001;;;014173;POKLOPAC 12L ORANŽ;1.600,00;1.600,00;0
;;;;;;;;
16.1.2019;0001;;;011241;KANTA 12L OVALNA BIJELAS RUÈKOM;3.600,00;3.600,00;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;014772;POKLOPAC 6,5L OVALNIBIJELI;4.140,00;4.140,00;0
;;;;;;;;
;;;;;;;;
1/313;;;;;;;;
Strana;;;;;;;;
;;;;;;;;
;;;;;;;;
Rok izr.;Naruèitelj;Narudžba;Datum;Proizvod;Naziv;Naruèeno;Izraðeno;Ostatak
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;015585;KANTA 18L-1 OVALNABIJELA S RUÈKOM + BIJELIPOKLOPAC - TISAKSILIKATNA ŽBUKA;960;960;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;015493;KANTA 18L-1 OVALNABIJELA S RUÈKOM + BIJELIPOKLOPAC - TISAKTERAKRIL;3.200,00;3.200,00;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;013024;RUÈKA 10L BEŽ PODRAVKA;15.000,00;15.000,00;0
;;;;;;;;
16.1.2019;0001;;;010301;"KANTA 20L ""S"" BIJELA SRUÈKOM";3.600,00;3.600,00;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;015339;LIPPENSTIFT L;4.000,00;4.000,00;0
;;;;;;;;
16.1.2019;0001;;;014321;Kanta 18L-2 ovalna bijela sruèkom;7.120,00;7.120,00;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;012277;POKLOPAC 18L-2  BIJELI;2.880,00;2.880,00;0
;;;;;;;;
16.1.2019;0001;;;014974;POKLOPAC 12L ŽUTI MB80147;3.200,00;3.200,00;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;014248;POKLOPAC 18L-1 BIJELI;5.760,00;5.760,00;0
;;;;;;;;
16.1.2019;0001;;;016386;BODENSCHIENE TRANSP.160, PUSHER WEIß/NATURGROß;1.000,00;1.000,00;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;009798;"KOŠARA500X420X400""R""CRVENA";850;850;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;015423;KANTA 18L-1 OVALNAZELENA S RUÈKOM +ZELENI POKLOPAC - TISAKVAPNENO BJELILO;960;960;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;013026;RUÈKA 10L PLAVAPODRAVKA;20.580,00;20.580,00;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;014546;POKLOPAC 18L-1 CRNI;1.920,00;1.920,00;0
;;;;;;;;
16.1.2019;0001;;;014247;KANTA 18L-1 OVALNABIJELA S RUÈKOM;6.445,00;6.445,00;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;014539;KANTA 6,5L OVALNABIJELA S RUÈKOM;5.400,00;5.400,00;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;015884;UREDSKI KOŠ FORNAXPLAVI;500;500;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;015882;UREDSKI KOŠ FORNAXCRVENI;300;300;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;015883;UREDSKI KOŠ FORNAXCRNI;500;500;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;015353;ETW 0270;1.344,00;1.344,00;0
;;;;;;;;
16.1.2019;0001;;;015353;ETW 0270;144;144;0
;;;;;;;;
16.1.2019;0001;;;015333;POKLOPAC 18L-2 TIRKIZRAL6027;1.920,00;1.920,00;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;012277;POKLOPAC 18L-2  BIJELI;5.760,00;5.760,00;0
;;;;;;;;
16.1.2019;0001;;;014248;POKLOPAC 18L-1 BIJELI;4.160,00;4.160,00;0
;;;;;;;;
16.1.2019;0001;;;013327;KOŠARA ZA PECIVO 135MM CRVENA;720;720;0
;;;;;;;;
;;;;;;;;
17.1.2019;0001;;;012702;KANTA 10L BIJELA SRUÈKOM;5.400,00;5.400,00;0
;;;;;;;;
;;;;;;;;
18.1.2019;0001;;;009798;"KOŠARA500X420X400""R""CRVENA";1.980,00;1.980,00;0
;;;;;;;;
;;;;;;;;
21.1.2019;0001;;;013032;RUÈKA 2,5L BEŽPODRAVKA;40.000,00;40.000,00;0
;;;;;;;;
;;;;;;;;
21.1.2019;0001;;;015588;UREDSKA LADICAFOROFFICE DIMLJENA;600;600;0
;;;;;;;;
;;;;;;;;
21.1.2019;0337;19-011-000058;15.1.2019;014526;"KANTA 20L ""N"" BIJELA SRUÈKOM - TISAKKARTOKOL";420;0;0
;;;;;;;;
;;;;;;;;
21.1.2019;1290;19-011-000071;17.1.2019;015644;KANTA 18L-1 OVALNABIJELA S RUÈKOM + BIJELIPOKLOPAC - TISAKSILIKONSKA ŽBUKA;1.600,00;1.600,00;0
;;;;;;;;
;;;;;;;;
21.1.2019;4663;19-011-000061;16.1.2019;014735;KANTA 18L-1 OVALNABIJELA S RUÈKOM - TISAKINTERDENT;1.500,00;1.500,00;0
;;;;;;;;
;;;;;;;;
21.1.2019;5401;;;016386;BODENSCHIENE TRANSP.160, PUSHER WEIß/NATURGROß;1.000,00;1.000,00;0
;;;;;;;;
;;;;;;;;
2/313;;;;;;;;
Strana;;;;;;;;
;;;;;;;;
;;;;;;;;
Rok izr.;Naruèitelj;Narudžba;Datum;Proizvod;Naziv;Naruèeno;Izraðeno;Ostatak
;;;;;;;;
;;;;;;;;
21.1.2019;5621;19-011-000065;16.1.2019;015583;UREDSKA LADICAFOROFFICE PROZIRNA;3.000,00;3.000,00;0
;;;;;;;;
;;;;;;;;
22.1.2019;0001;;;014075;UREDSKA LADICA SIGMAPROZIRNA;250;250;0
;;;;;;;;
;;;;;;;;
22.1.2019;0001;;;012117;KANTA 2,5L BIJELA BEZRUÈKE;2.400,00;2.400,00;0
;;;;;;;;
;;;;;;;;
22.1.2019;1285;19-011-000069;17.1.2019;006055;POSUDA ZA MESO SATISKOM;10;10;0
;;;;;;;;
;;;;;;;;
22.1.2019;5401;19-011-000015;7.1.2019;015415;ETW 0312;532;532;0
;;;;;;;;
22.1.2019;5401;19-011-000016;7.1.2019;015415;ETW 0312;152;152;0
;;;;;;;;
23.1.2019;1023;19-011-000013;4.1.2019;013012;POKLOPAC 2,5L BEŽPODRAVKA;17.280,00;17.280,00;0
;;;;;;;;
;;;;;;;;
23.1.2019;1023;19-011-000013;4.1.2019;013010;KANTA 2,5L BEŽ SRUÈKOM PODRAVKA;8.640,00;8.640,00;0
;;;;;;;;
;;;;;;;;
24.1.2019;0001;;;015587;UREDSKA LADICAFOROFFICE TRANSPARENTCRVENA;650;650;0
;;;;;;;;
;;;;;;;;
24.1.2019;0001;;;015586;UREDSKA LADICAFOROFFICE TRANSPARENTPLAVA;600;600;0
;;;;;;;;
;;;;;;;;
24.1.2019;0001;;;014073;UREDSKA LADICA SIGMAPLAVA;250;250;0
;;;;;;;;
;;;;;;;;
24.1.2019;0001;;;014082;UREDSKA LADICA BJANKOCRVENA;300;300;0
;;;;;;;;
;;;;;;;;
24.1.2019;0001;;;014081;UREDSKA LADICA BJANKOPLAVA;150;150;0
;;;;;;;;
;;;;;;;;
24.1.2019;5936;19-011-000083;21.1.2019;016664;KOŠARA ZA PECIVO 180RAL 3004-PL.PEKARNAPEÈJAK;100;100;0
;;;;;;;;
;;;;;;;;
25.1.2019;0001;;;014321;Kanta 18L-2 ovalna bijela sruèkom;4.160,00;4.160,00;0
;;;;;;;;
;;;;;;;;
25.1.2019;0001;;;014074;UREDSKA LADICA SIGMACRNA;250;250;0
;;;;;;;;
;;;;;;;;
25.1.2019;0001;;;012792;KANTA 2,5L BIJELA BEZRUÈKE - TISAKMEDICINSKI ZARAZNIOTPAD;2.400,00;2.400,00;0
;;;;;;;;
;;;;;;;;
25.1.2019;0001;;;014078;UREDSKA LADICA BJANKOCRNA;300;300;0
;;;;;;;;
;;;;;;;;
28.1.2019;0001;;;015580;UREDSKA LADICA FOROFFICE CRVENA;1.200,00;1.200,00;0
;;;;;;;;
;;;;;;;;
28.1.2019;0001;;;012783;POKLOPAC 2,5L  I.O.CRVENI S ÈEPOM;5.040,00;5.040,00;0
;;;;;;;;
;;;;;;;;
28.1.2019;0001;;;014081;UREDSKA LADICA BJANKOPLAVA;150;150;0
;;;;;;;;
;;;;;;;;
28.1.2019;0001;;;015582;UREDSKA LADICA FOROFFICE PLAVA;2.400,00;2.400,00;0
;;;;;;;;
;;;;;;;;
28.1.2019;0001;;;009798;"KOŠARA500X420X400""R""CRVENA";820;820;0
;;;;;;;;
;;;;;;;;
28.1.2019;5936;19-011-000083;21.1.2019;016663;KOŠARA FRANCUZ RAL3004-PL.PEKARNA PEÈJAK;350;350;0
;;;;;;;;
;;;;;;;;
29.1.2019;0001;;;016364;SCHACHT 17,30 GLASKLAR;3.780,00;3.780,00;0
;;;;;;;;
29.1.2019;0001;;;016360;ALVERDE SCHACHT 17,30KLARSICHTIG MONTIERT;3.780,00;3.780,00;0
;;;;;;;;
;;;;;;;;
29.1.2019;0001;;;016193;TIU SCHACHT 19,20 MMMONTIERT;2.000,00;2.000,00;0
;;;;;;;;
;;;;;;;;
29.1.2019;0001;;;015581;UREDSKA LADICA FOROFFICE CRNA;1.500,00;1.500,00;0
;;;;;;;;
;;;;;;;;
29.1.2019;0001;;;016197;SCHACHT 19,2MM;2.000,00;2.000,00;0
;;;;;;;;
29.1.2019;0001;;;015341;LIPPENSTIFT M klein;3.360,00;3.360,00;0
;;;;;;;;
29.1.2019;5401;;;015353;ETW 0270;480;480;0
;;;;;;;;
30.1.2019;0001;;;014247;KANTA 18L-1 OVALNABIJELA S RUÈKOM;11.840,00;11.840,00;0
;;;;;;;;
;;;;;;;;
30.1.2019;5227;19-011-000109;25.1.2019;013477;"KOŠARA  FRANCUZ ""O""CRVENA TISAK RAZNI";120;120;0
;;;;;;;;
;;;;;;;;
31.1.2019;0001;;;015425;KANTA 7L ZELENA SRUÈKOM (MB 985535);2.400,00;2.400,00;0
;;;;;;;;
;;;;;;;;
31.1.2019;0001;;;014321;Kanta 18L-2 ovalna bijela sruèkom;5.440,00;5.440,00;0
;;;;;;;;
;;;;;;;;
3/313;;;;;;;;
Strana;;;;;;;;
;;;;;;;;
;;;;;;;;
Rok izr.;Naruèitelj;Narudžba;Datum;Proizvod;Naziv;Naruèeno;Izraðeno;Ostatak
;;;;;;;;
;;;;;;;;
31.1.2019;0001;;;012978;KANTA 7L BIJELA SRUÈKOM;4.800,00;4.800,00;0
;;;;;;;;
;;;;;;;;
31.1.2019;0001;;;013328;POKLOPAC 1L/1,2L BIJELI;15.970,00;15.970,00;0
;;;;;;;;
31.1.2019;0001;;;014929;POKLOPAC 18L-2 OKERŽUTI MB 80147;3.390,00;3.390,00;0
;;;;;;;;
;;;;;;;;
31.1.2019;1023;19-011-000013;4.1.2019;013574;POKLOPAC 10L BIJELIPODRAVKA;6.600,00;6.600,00;0
;;;;;;;;
;;;;;;;;
31.1.2019;1023;19-011-000013;4.1.2019;013128;"POKLOPAC 5L;3,8L BIJELIPODRAVKA";4.200,00;4.200,00;0
;;;;;;;;
;;;;;;;;
31.1.2019;5401;19-011-000068;16.1.2019;016679;Artdeco Bodenwanne 100;10.296,00;10.296,00;0
;;;;;;;;
31.1.2019;5401;19-011-000068;16.1.2019;016680;Artdeco Bodenwanne 200;5.040,00;5.040,00;0
;;;;;;;;
31.1.2019;5936;19-011-000083;21.1.2019;016665;KOŠARA ZA KOLAÈE 100RAL 3004-PL.PEKARNAPEÈJAK;350;350;0
;;;;;;;;
;;;;;;;;
1.2.2019;0001;;;013458;"POKLOPAC 20L ""N"" BIJELI";6.720,00;6.720,00;0
;;;;;;;;
1.2.2019;1533;19-011-000118;28.1.2019;015432;"KOŠARA FRANCUZ ""O""CRVENA PL. KLARA";600;600;0
;;;;;;;;
;;;;;;;;
4.2.2019;0001;;;016154;KANTA 18L-1 OVALNABIJELA TISAK KARBON;640;640;0
;;;;;;;;
;;;;;;;;
4.2.2019;0001;;;011241;KANTA 12L OVALNA BIJELAS RUÈKOM;6.800,00;6.800,00;0
;;;;;;;;
;;;;;;;;
4.2.2019;0001;;;013327;KOŠARA ZA PECIVO 135MM CRVENA;240;240;0
;;;;;;;;
;;;;;;;;
4.2.2019;1290;19-011-000071;17.1.2019;016153;KANTA 18L-1 OVALNABIJELA S RUÈKOM + BIJELIPOKLOPAC - TISAKTERAPLAST S;960;960;0
;;;;;;;;
;;;;;;;;
4.2.2019;1290;19-011-000071;17.1.2019;015645;KANTA 18L-1 OVALNABIJELA S RUÈKOM + BIJELIPOKLOPAC - TISAKTERAPLAST G;960;960;0
;;;;;;;;
;;;;;;;;
4.2.2019;5328;19-011-000131;30.1.2019;014444;KOTAÈ 37005 A  FI 360X80;1.240,00;1.240,00;0
;;;;;;;;
4.2.2019;5401;;;015418;ETW 0313;108;108;0
;;;;;;;;
4.2.2019;5401;;;015416;ETW 0314;456;456;0
;;;;;;;;
4.2.2019;5401;;;015417;ETW 0311;216;216;0
;;;;;;;;
5.2.2019;0001;;;014893;KANTA 1L PROZIRNA SRUÈKOM;31.200,00;31.200,00;0
;;;;;;;;
;;;;;;;;
5.2.2019;4673;19-011-000162;8.2.2019;013617;"POKLOPAC 20L ""N"" ZELENIMB 80534";2.240,00;2.240,00;0
;;;;;;;;
;;;;;;;;
5.2.2019;5401;;;016659;ETW 0092 - TESTER;70.000,00;70.000,00;0
;;;;;;;;
5.2.2019;5401;;;016660;ETW 0092 - DESNI DIO mitzapfen;74.046,00;74.046,00;0
;;;;;;;;
;;;;;;;;
5.2.2019;5401;;;016661;ETW 0092 - LIJEVI DIOohne zapfen;74.046,00;74.046,00;0
;;;;;;;;
;;;;;;;;
5.2.2019;5401;;;016656;ETW 0092;70.000,00;70.000,00;0
;;;;;;;;
6.2.2019;0001;;;014187;POKLOPAC 1L/1,2LPROZIRNI;17.440,00;17.440,00;0
;;;;;;;;
;;;;;;;;
6.2.2019;5401;;;016485;ETW 0231;7.600,00;7.600,00;0
;;;;;;;;
7.2.2019;0001;;;012553;POKLOPAC 5L/6.2L BIJELI;7.680,00;7.680,00;0
;;;;;;;;
7.2.2019;0001;;;015413;STIFTEKOCHER UNTERTEILKURZ;15.995,00;15.995,00;0
;;;;;;;;
;;;;;;;;
7.2.2019;0001;;;014772;POKLOPAC 6,5L OVALNIBIJELI;5.400,00;5.400,00;0
;;;;;;;;
;;;;;;;;
7.2.2019;0001;;;015493;KANTA 18L-1 OVALNABIJELA S RUÈKOM + BIJELIPOKLOPAC - TISAKTERAKRIL;3.200,00;3.200,00;0
;;;;;;;;
;;;;;;;;
7.2.2019;0001;;;012349;KOŠARA ZA KOLAÈE 100MM ŽUTA;720;720;0
;;;;;;;;
;;;;;;;;
7.2.2019;0001;;;015415;ETW 0312;14.896,00;14.896,00;0
;;;;;;;;
8.2.2019;0001;;;013127;KANTA 5L BIJELA SRUÈKOM PODRAVKA;3.500,00;3.500,00;0
;;;;;;;;
;;;;;;;;
8.2.2019;0001;;;014797;KANTA 1L BIJELA BEZRUÈKE;4.800,00;4.800,00;0
;;;;;;;;
;;;;;;;;
8.2.2019;0001;;;014622;POKLOPAC 18L-2 ZLATNI;3.500,00;3.500,00;0
;;;;;;;;
8.2.2019;0001;;;014796;KANTA 1L BIJELA SRUÈKOM;9.600,00;9.600,00;0
;;;;;;;;
;;;;;;;;
4/313;;;;;;;;
Strana;;;;;;;;
;;;;;;;;
;;;;;;;;
Rok izr.;Naruèitelj;Narudžba;Datum;Proizvod;Naziv;Naruèeno;Izraðeno;Ostatak
;;;;;;;;
;;;;;;;;
8.2.2019;0001;;;010301;"KANTA 20L ""S"" BIJELA SRUÈKOM";3.940,00;3.940,00;0
;;;;;;;;
;;;;;;;;
8.2.2019;0001;;;015659;KANTA 18L-1 OVALNABIJELA S RUÈKOM + BIJELIPOKLOPAC - TISAKTERAKRIL UNI Z;960;960;0
;;;;;;;;
;;;;;;;;
8.2.2019;0001;;;014321;Kanta 18L-2 ovalna bijela sruèkom;4.160,00;4.160,00;0
;;;;;;;;
;;;;;;;;
8.2.2019;0001;;;014539;KANTA 6,5L OVALNABIJELA S RUÈKOM;5.400,00;5.400,00;0
;;;;;;;;
;;;;;;;;
8.2.2019;0001;;;012277;POKLOPAC 18L-2  BIJELI;6.720,00;6.720,00;0
;;;;;;;;
8.2.2019;0001;;;014236;RUÈKA KANTE 1LPROZIRNA;40.000,00;40.000,00;0
;;;;;;;;
;;;;;;;;
8.2.2019;0213;19-011-000080;21.1.2019;014976;POKLOPAC 6,5L OVALNIŽUTI (MB 80147);6.300,00;6.300,00;0
;;;;;;;;
;;;;;;;;
8.2.2019;1023;19-011-000144;1.2.2019;013010;KANTA 2,5L BEŽ SRUÈKOM PODRAVKA;15.120,00;15.120,00;0
;;;;;;;;
;;;;;;;;
8.2.2019;1023;19-011-000152;4.2.2019;013016;POKLOPAC 10L BEŽPODRAVKA;4.950,00;4.950,00;0
;;;;;;;;
;;;;;;;;
8.2.2019;1023;19-011-000152;4.2.2019;013017;POKLOPAC 10L PLAVIPODRAVKA;6.600,00;6.600,00;0
;;;;;;;;
;;;;;;;;
11.2.2019;0001;;;014539;KANTA 6,5L OVALNABIJELA S RUÈKOM;1.800,00;1.800,00;0
;;;;;;;;
;;;;;;;;
11.2.2019;0336;19-011-000182;7.2.2019;015582;UREDSKA LADICA FOROFFICE PLAVA;600;600;0
;;;;;;;;
;;;;;;;;
12.2.2019;0001;;;014247;KANTA 18L-1 OVALNABIJELA S RUÈKOM;6.400,00;6.400,00;0
;;;;;;;;
;;;;;;;;
12.2.2019;0001;;;015422;KANTA 7L ZELENA SRUÈKOM + ZELENIPOKLOPAC - TISAKVAPNENO BJELILO;1.200,00;1.200,00;0
;;;;;;;;
;;;;;;;;
12.2.2019;0001;;;015750;KANTA 7L BIJELA SRUÈKOM + BIJELIPOKLOPAC - TISAK UKG;1.200,00;1.200,00;0
;;;;;;;;
;;;;;;;;
12.2.2019;0336;19-011-000183;7.2.2019;014061;UREDSKA LADICA FORNAXCRNA - FOKUS;1.500,00;1.500,00;0
;;;;;;;;
;;;;;;;;
12.2.2019;0336;19-011-000183;7.2.2019;014075;UREDSKA LADICA SIGMAPROZIRNA;500;500;0
;;;;;;;;
;;;;;;;;
12.2.2019;5401;19-011-000192;11.2.2019;015353;ETW 0270;1.680,00;1.680,00;0
;;;;;;;;
13.2.2019;0001;;;012512;POKLOPAC 3,75L BIJELI;6.000,00;6.000,00;0
;;;;;;;;
13.2.2019;0001;;;014078;UREDSKA LADICA BJANKOCRNA;300;300;0
;;;;;;;;
;;;;;;;;
13.2.2019;0001;;;013081;POKLOPAC 3,75L CRVENI;3.000,00;3.000,00;0
;;;;;;;;
13.2.2019;0001;;;012703;POKLOPAC 10L BIJELI;6.620,00;6.620,00;0
;;;;;;;;
13.2.2019;0001;;;010301;"KANTA 20L ""S"" BIJELA SRUÈKOM";140;140;0
;;;;;;;;
;;;;;;;;
13.2.2019;0336;19-011-000182;7.2.2019;015586;UREDSKA LADICAFOROFFICE TRANSPARENTPLAVA;600;600;0
;;;;;;;;
;;;;;;;;
13.2.2019;0336;19-011-000182;7.2.2019;015587;UREDSKA LADICAFOROFFICE TRANSPARENTCRVENA;600;600;0
;;;;;;;;
;;;;;;;;
14.2.2019;0001;;;014082;UREDSKA LADICA BJANKOCRVENA;300;300;0
;;;;;;;;
;;;;;;;;
14.2.2019;0001;;;015339;LIPPENSTIFT L;3.264,00;3.264,00;0
;;;;;;;;
14.2.2019;0001;;;014079;UREDSKA LADICA BJANKODIMLJENA;380;380;0
;;;;;;;;
;;;;;;;;
14.2.2019;0001;;;014339;UREDSKA LADICA FORNAXPROZIRNA;780;780;0
;;;;;;;;
;;;;;;;;
14.2.2019;0001;;;014081;UREDSKA LADICA BJANKOPLAVA;300;300;0
;;;;;;;;
;;;;;;;;
14.2.2019;0001;;;014080;UREDSKA LADICA BJANKOPROZIRNA;350;350;0
;;;;;;;;
;;;;;;;;
14.2.2019;0336;19-011-000182;7.2.2019;015639;UREDSKA LADICAFOROFFICE SIVA;600;600;0
;;;;;;;;
;;;;;;;;
14.2.2019;0336;19-011-000183;7.2.2019;014073;UREDSKA LADICA SIGMAPLAVA;600;600;0
;;;;;;;;
;;;;;;;;
14.2.2019;0336;19-011-000183;7.2.2019;014076;UREDSKA LADICA SIGMACRVENA;500;500;0
;;;;;;;;
;;;;;;;;
5/313;;;;;;;;
Strana;;;;;;;;
;;;;;;;;
;;;;;;;;
Rok izr.;Naruèitelj;Narudžba;Datum;Proizvod;Naziv;Naruèeno;Izraðeno;Ostatak
;;;;;;;;
;;;;;;;;
15.2.2019;0001;;;013618;"KANTA 20L ""N"" ZELENA SRUÈKOM (MB 980534)";2.100,00;2.100,00;0
;;;;;;;;
;;;;;;;;
15.2.2019;0001;;;005113;"POKLOPAC 20L ""S"" PLAVI";1.920,00;1.920,00;0
;;;;;;;;
15.2.2019;0001;;;013457;"KANTA 20L ""N"" BIJELA SRUÈKOM";6.720,00;6.720,00;0
;;;;;;;;
;;;;;;;;
15.2.2019;0001;;;013631;POKLOPAC 18L-2NARANÈASTI (MB 80120);3.840,00;3.840,00;0
;;;;;;;;
;;;;;;;;
15.2.2019;0001;;;014341;UREDSKA LADICA FORNAXTRANSPARENT PLAVA;600;600;0
;;;;;;;;
;;;;;;;;
15.2.2019;0001;;;007010;"POKLOPAC 20L ""S"" CRVENI";2.880,00;2.880,00;0
;;;;;;;;
15.2.2019;0336;19-011-000183;7.2.2019;014074;UREDSKA LADICA SIGMACRNA;500;500;0
;;;;;;;;
;;;;;;;;
15.2.2019;0336;19-011-000182;7.2.2019;015581;UREDSKA LADICA FOROFFICE CRNA;1.500,00;1.500,00;0
;;;;;;;;
;;;;;;;;
15.2.2019;1254;19-011-000167;6.2.2019;013499;"KANTA 20L ""N"" BIJELA SRUÈKOM - TISAKSTIGOELAST";840;840;0
;;;;;;;;
;;;;;;;;
15.2.2019;1409;19-011-000168;6.2.2019;010802;KANTA 7L BIJELA SRUÈKOM - TISAK GAŠENOVAPNO;3.000,00;3.000,00;0
;;;;;;;;
;;;;;;;;
15.2.2019;4525;19-011-000139;1.2.2019;016751;"DRŽAÈ  TORBICE ""S"" TISAKJANA";1.792,00;1.792,00;0
;;;;;;;;
;;;;;;;;
18.2.2019;5401;19-600-000202;;016755;ETW 0233;300;300;0
;;;;;;;;
19.2.2019;0001;;;015428;KANTA 18L-1 OVALNAZELENA S RUÈKOM (MB985535);960;960;0
;;;;;;;;
;;;;;;;;
19.2.2019;0001;;;014248;POKLOPAC 18L-1 BIJELI;5.760,00;5.760,00;0
;;;;;;;;
20.2.2019;0001;;;015341;LIPPENSTIFT M klein;11.760,00;11.760,00;0
;;;;;;;;
21.2.2019;0001;;;013573;KANTA 10L BIJELA SRUÈKOM PODRAVKA;4.400,00;4.400,00;0
;;;;;;;;
;;;;;;;;
21.2.2019;0001;;;013014;KANTA 10L BEŽ S RUÈKOMPODRAVKA;3.025,00;3.025,00;0
;;;;;;;;
;;;;;;;;
21.2.2019;0001;;;013015;KANTA 10L PLAVA SRUÈKOM PODRAVKA;6.050,00;6.050,00;0
;;;;;;;;
;;;;;;;;
21.2.2019;0001;;;015340;LIPPENSTIFT R;3.264,00;3.264,00;0
;;;;;;;;
21.2.2019;0001;;29.1.2019;016752;ETW 0231 - Links mit Stift(lijevi sa štiftom);17.000,00;17.000,00;0
;;;;;;;;
;;;;;;;;
21.2.2019;0001;;;016493;ETW 0231 - Schlitten(Pusher);30.000,00;30.000,00;0
;;;;;;;;
;;;;;;;;
21.2.2019;0001;;;016491;ETW 0231 - Links ohne Stift(Lijevi bez štifta);6.406,00;6.406,00;0
;;;;;;;;
;;;;;;;;
21.2.2019;0001;;;012702;KANTA 10L BIJELA SRUÈKOM;2.400,00;2.400,00;0
;;;;;;;;
;;;;;;;;
21.2.2019;0001;;;016492;ETW 0231 - SeitenwandRechts (Desni);13.000,00;13.000,00;0
;;;;;;;;
;;;;;;;;
21.2.2019;0001;;;012997;"POKLOPAC 7L BIJELI ""N""";1.440,00;1.440,00;0
;;;;;;;;
